;dest src x_int slope
775 771 107.722884518 0.00520411873121
789 793 107.722884518 0.00528782441063
535 531 107.722884518 0.00131666292727
1303 1299 107.722884518 0.00380869967514
1031 1035 107.722884518 0.00563394558233
873 877 107.722884518 0.00520542805622
837 833 107.722884518 0.00322479215857
539 543 107.722884518 0.00305882193433
1127 1131 107.722884518 0.00608789685419
389 385 107.722884518 0.00177536620919
1415 1419 107.722884518 0.0104595503458
1527 1523 107.722884518 0.00164140175598
671 667 107.722884518 0.00141563064884
701 697 107.722884518 0.00401245058492
933 937 107.722884518 0.00543274527724
1141 1137 107.722884518 0.00296301163796
1173 1177 107.722884518 0.0012386844167
509 505 107.722884518 0.00173364122212
415 419 107.722884518 0.00171973767244
525 521 107.722884518 0.00190443669289
483 487 107.722884518 0.00322081637975
1295 1291 107.722884518 0.00221324967019
705 701 107.722884518 0.00204816094724
1119 1115 107.722884518 0.00473575247396
1199 1195 107.722884518 0.00158027967759
649 645 107.722884518 0.00379430773338
599 595 107.722884518 0.00116559203919
1433 1437 107.722884518 0.00276592361758
1383 1379 107.722884518 0.00160476884403
885 889 107.722884518 0.00216692298179
1467 1463 107.722884518 0.00503682131437
1121 1125 107.722884518 0.00486337787021
1227 1223 107.722884518 0.0037476280692
507 503 107.722884518 0.00390057989374
515 511 107.722884518 0.00327113944181
479 475 107.722884518 0.00420396916562
617 621 107.722884518 0.00178783563951
495 499 107.722884518 0.00730491919399
1255 1251 107.722884518 0.00129299331674
843 839 107.722884518 0.00290966430707
841 837 107.722884518 0.00588015105726
1081 1077 107.722884518 0.00186653416949
693 697 107.722884518 0.00129509205947
565 561 107.722884518 0.00204780412291
929 933 107.722884518 0.00300142534748
601 597 107.722884518 0.00131762788661
405 409 107.722884518 0.00237371855669
889 885 107.722884518 0.00508347753526
599 603 107.722884518 0.00188457958638
475 479 107.722884518 0.00171346748119
1057 1061 107.722884518 0.00289199441271
837 841 107.722884518 0.00724563349592
469 465 107.722884518 0.0022447659916
753 757 107.722884518 0.00142611223806
1191 1187 107.722884518 0.00422921580655
427 431 107.722884518 0.00198768528636
919 915 107.722884518 0.00343465784629
721 725 107.722884518 0.00262627431718
1029 1033 107.722884518 0.00386584582308
595 591 107.722884518 0.0020891051239
549 553 107.722884518 0.00859855779812
707 711 107.722884518 0.00659372366167
1083 1079 107.722884518 0.00193196472837
1029 1025 107.722884518 0.00371714738531
737 741 107.722884518 0.00319541252177
391 387 107.722884518 0.00252401444035
1077 1081 107.722884518 0.0079488952567
1135 1131 107.722884518 0.0030564743522
661 657 107.722884518 0.00412219519941
455 459 107.722884518 0.0103016761493
1193 1197 107.722884518 0.00232224993678
1151 1147 107.722884518 0.00832444393772
765 761 107.722884518 0.00421893616145
641 637 107.722884518 0.00413092815196
521 525 107.722884518 0.00266566391541
807 803 107.722884518 0.00402473167855
597 601 107.722884518 0.0103608530859
893 889 107.722884518 0.00131370222738
797 801 107.722884518 0.00263938061302
1417 1413 107.722884518 0.0110812085676
647 651 107.722884518 0.00399912490329
1371 1367 107.722884518 0.00793077715398
745 741 107.722884518 0.00376152719418
453 457 107.722884518 0.00202665925892
1307 1311 107.722884518 0.00232775767303
821 817 107.722884518 0.00177537563291
457 453 107.722884518 0.00273148317348
1503 1499 107.722884518 0.0023210089152
1365 1369 107.722884518 0.00693488381573
699 695 107.722884518 0.0103012152067
503 507 107.722884518 0.00461543497136
1465 1461 107.722884518 0.00374683018075
983 987 107.722884518 0.00164608758067
1511 1515 107.722884518 0.00371471150393
1273 1269 107.722884518 0.00777478683482
791 795 107.722884518 0.00235718495489
865 869 107.722884518 0.00111402227397
1299 1303 107.722884518 0.00277426120222
695 699 107.722884518 0.00884184217934
1045 1041 107.722884518 0.00437837363947
1137 1141 107.722884518 0.00553834915838
1519 1515 107.722884518 0.00239842712208
953 957 107.722884518 0.00195742903654
651 647 107.722884518 0.00536800095173
645 649 107.722884518 0.00493755109428
791 787 107.722884518 0.00587486743421
853 849 107.722884518 0.00188244872785
923 927 107.722884518 0.00782649986898
1223 1227 107.722884518 0.00691370776804
555 551 107.722884518 0.00478527236172
1269 1273 107.722884518 0.00227862561816
1225 1221 107.722884518 0.00542183569555
1033 1029 107.722884518 0.0101960542805
1429 1425 107.722884518 0.00100646481544
859 863 107.722884518 0.00330499513894
945 949 107.722884518 0.00133338189343
939 935 107.722884518 0.00172877927977
1385 1389 107.722884518 0.0015250257552
625 629 107.722884518 0.00270834430573
627 631 107.722884518 0.00100027025307
1175 1179 107.722884518 0.00510260823448
1419 1415 107.722884518 0.00354813173769
1327 1323 107.722884518 0.00252267718854
603 599 107.722884518 0.00549507443599
1203 1207 107.722884518 0.00199265373949
761 765 107.722884518 0.00399626582439
981 985 107.722884518 0.0065290173152
1011 1015 107.722884518 0.00274234822139
747 743 107.722884518 0.00122854911068
551 555 107.722884518 0.00225632360995
839 843 107.722884518 0.0029044570755
833 829 107.722884518 0.00376099923885
1499 1503 107.722884518 0.00352599418315
433 437 107.722884518 0.00129929624899
409 405 107.722884518 0.00113289687602
459 455 107.722884518 0.00457000786981
425 429 107.722884518 0.0021673395027
1125 1129 107.722884518 0.00264014751492
489 493 107.722884518 0.0039986034911
501 505 107.722884518 0.00454155502739
795 791 107.722884518 0.00101144520909
741 745 107.722884518 0.00811362918846
1491 1495 107.722884518 0.00488741950319
