ped	68	0	1	8	170.3	162.1	183.4	169.1	270.1	230.4	233.3	232
ped	69	0	1	9	187.4	165	173.3	182.8	229.3	249.8	270	236.3
ped	70	0	0	0	145	110.7	121.6	111.4	186.2	163	47.4	74.7
ped	71	0	0	1	174.9	121.4	139	81.4	192	141	40	93.1
ped	72	0	0	2	94.1	42.1	86.1	61.3	145	146.3	141.1	96.5
ped	73	0	0	3	136.6	104.4	76.9	62.1	166.2	122.7	146.1	131.4
ped	74	0	0	4	140.4	98.5	63.8	104.1	113.1	105.6	173.3	123.3
ped	75	0	0	5	164.9	62.7	74.2	87.1	208.8	95.2	101.1	152.1
ped	76	0	0	6	155.8	123.1	77.8	57	189	98.3	56.2	31.3
ped	77	0	0	7	159.3	55.3	136.5	143.6	106.2	106.3	96	108.3
ped	78	0	0	8	177.6	50.4	123.6	76.5	175.9	109.6	197.4	106.5
ped	79	0	0	9	183.5	125.2	107.4	65.2	157.8	157.9	80.2	98.5
