COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: CAL Last Layer Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 32 #Parameters: 5
AXES:
2
2.91418 0.950257 9537.69 566.959 -0.388066 
3.34721 0.962401 9683.95 668.383 -0.35029 
3.18894 0.968997 9407.81 676.311 -0.362147 
3.18845 0.968879 9297.09 723.45 -0.342939 
4.00852 0.89357 20963.2 1166.09 -0.305315 
4.33263 0.918015 21204.7 1284.57 -0.33533 
5.05093 0.943528 22051.4 1549.25 -0.391958 
4.67995 0.97731 21042.4 1641.43 -0.438953 
6.46512 0.964323 23960 1994.85 -0.320044 
4.4166 0.915034 32621.5 1814.42 -0.44879 
5.38117 0.914946 34393.8 2262.01 -0.307915 
5.15957 0.937305 32859.8 2547.6 -0.359845 
7.41017 0.947382 38567.3 3145.04 -0.293444 
6.86984 0.967429 36789.6 3229.63 -0.372916 
5.99736 0.906906 61606.2 3674.96 -0.414977 
5.61177 0.912115 57939.8 3951.52 -0.418392 
7.69567 0.934935 66101.8 5469.71 -0.374414 
7.0739 0.962244 61439.5 5558.17 -0.377567 
7.81266 0.970767 64444.3 6229.18 -0.410998 
PDF: Cut Value 0 and TKR Plane 4
1.01564 0.974428 146.684 18.7091 -0.447799 
0.553219 0.976817 149.152 17.3645 -0.487597 
0.179076 0.95916 151.021 15.4155 -0.494161 
1.64562e-10 0.956377 151.082 14.8371 -0.47854 
0.352156 0.953954 152.262 15.4189 -0.496239 
0.50865 0.978017 232.253 22.6357 -0.454935 
0.575906 0.973386 235.39 21.6994 -0.461924 
0.326366 0.963293 237.059 20.2604 -0.470904 
0.281593 0.955931 237.31 19.4788 -0.444151 
0.508182 0.946922 238.862 20.2675 -0.482828 
0.492904 0.977068 405.636 30.0501 -0.427788 
0.753912 0.976665 410.239 30.644 -0.442126 
0.259434 0.971507 406.396 29.576 -0.472194 
0.573768 0.961047 410.378 29.2379 -0.433616 
0.468771 0.96062 406.847 31.1841 -0.454215 
0.640018 0.981239 753.933 46.1738 -0.399662 
0.647238 0.982508 752.509 47.8921 -0.421398 
0.738711 0.978244 752.338 50.2474 -0.417888 
0.769474 0.964786 752.572 49.6874 -0.429524 
1.02106 0.966511 755.888 54.4539 -0.431733 
0.362776 0.985958 833.618 48.8131 -0.425096 
0.68187 0.978846 836.964 53.2987 -0.392412 
0.776973 0.976481 838.586 54.6854 -0.42094 
0.970311 0.966336 842.433 55.9185 -0.38754 
0.921536 0.965634 834.289 59.3457 -0.396314 
0.750254 0.971671 1700.88 87.2319 -0.385842 
1.01528 0.974646 1706.25 95.5051 -0.390868 
1.15827 0.981148 1701.11 107.905 -0.402317 
1.34183 0.969224 1706.89 110.675 -0.378274 
1.43799 0.975762 1701.68 120.297 -0.380627 
