COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: TKR Hits Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 48 #Parameters: 5
AXES:
2
2.02702 0.961636 271.251 34.3433 -0.17341
2.03128 0.96723 270.808 34.9678 -0.240202
2.25405 0.972825 288.283 37.2713 -0.306865
1.1802 0.947862 224.833 23.4345 -0.513755
1.23244 0.935037 227.895 23.0123 -0.459923
1.90216 0.9495 345.657 39.4815 -0.30325
2.68758 0.94514 395.9 47.4776 -0.217421
2.16797 0.959396 365.29 43.9414 -0.373547
1.23989 0.921383 312.795 27.9437 -0.489042
1.29002 0.919319 315.698 27.9116 -0.45327
2.87146 0.948122 571.909 65.2951 -0.258805
2.91138 0.953659 573.328 67.6658 -0.323675
2.48734 0.953348 550.237 60.7293 -0.446958
1.65505 0.913816 504.646 42.1508 -0.426583
1.90871 0.918149 518.352 41.7345 -0.351135
4.4577 0.95853 1004.47 119.463 -0.332249
5.02847 0.957464 1037.73 127.956 -0.355496
3.1508 0.950216 910.74 97.3317 -0.457033
2.61735 0.912831 885.625 72.2408 -0.345432
2.10878 0.955401 848.451 67.7332 -0.378718
4.18814 0.954824 1063.88 126.136 -0.376156
5.1128 0.949441 1120.02 137.518 -0.381008
4.02567 0.933211 1044.46 113.18 -0.392995
1.95761 0.938541 923.746 74.4383 -0.468373
2.2595 0.950139 933.895 74.829 -0.319913
5.58677 0.996413 1919.44 273.989 -0.475298
5.57331 1.01334 1948.68 254.256 -0.651856
4.17573 0.948527 1822.12 199.888 -0.569113
2.76491 0.940838 1726.14 144.901 -0.413481
3.46333 0.968634 1761.21 146.36 -0.307049
5.97072 1.01061 2663.93 430.883 -0.531732
5.9025 1.01996 2723.73 373.693 -0.72052
3.56239 0.951853 2514.54 285.69 -0.648491
5.21421 0.946776 2619.61 234.323 -0.386097
4.64237 0.974162 2552.93 217.606 -0.322333
PDF: Cut Value 0 and TKR Plane 5
1.37312 0.960065 104.198 14.4724 0.0842333
1.33023 0.962414 101.146 14.451 0.0666183
1.27038 0.971961 96.8254 13.9866 0.0500994
1.34628 0.967077 102.174 14.2948 0.036443
1.35041 0.969501 102.709 14.3992 -0.00155959
1.23545 0.965589 102.904 14.6386 0.0136821
1.31872 0.96206 107.901 15.5557 0.0493789
1.3867 0.968555 111.871 15.8765 0.0344412
1.41972 0.966827 114.613 16.2201 -0.0109308
1.66529 0.964579 129.761 18.247 0.049918
1.6544 0.958662 163.296 22.6007 -0.000770272
1.4645 0.97189 150.331 21.1242 -0.122311
1.80503 0.969189 172.407 24.7119 -0.0818281
1.71286 0.972831 168.115 23.8054 -0.134123
1.79918 0.967604 174.502 23.7076 -0.152784
1.53704 0.962453 239.292 30.5152 -0.248207
1.76692 0.971631 254.245 34.0496 -0.245781
1.98279 0.976646 269.224 37.1728 -0.268372
1.34498 0.967233 232.327 28.3493 -0.462019
1.31949 0.947395 231.944 26.3166 -0.474664
1.59844 0.949026 325.767 38.4811 -0.29064
2.13196 0.955484 360.743 46.2539 -0.244123
2.27524 0.957026 371.815 48.2166 -0.266319
1.29774 0.93606 314.285 32.5851 -0.505607
1.3565 0.926612 319.136 31.5736 -0.479903
1.92211 0.952329 511.988 58.4782 -0.345385
2.22349 0.953593 533.017 63.4675 -0.342441
2.52013 0.946742 555.365 65.3556 -0.349219
